"state","year","overall_food_insecurity_rate","number_of_food_insecure_persons_overall","food_insecurity_rate_among_black_persons_all_ethnicities","food_insecurity_rate_among_hispanic_persons_any_race","food_insecurity_rate_among_white_non_hispanic_persons","low_threshold_in_state","low_threshold_type","high_threshold_in_state","high_threshold_type","percent_fi_o_low_threshold","percent_fi_btwn_thresholds","percent_fi_high_threshold","percent_fi_low_threshold","child_food_insecurity_rate","number_of_food_insecure_children","percent_food_insecure_children_in_hh_w_hh_incomes_below_185_fpl","percent_food_insecure_children_in_hh_w_hh_incomes_above_185_fpl","cost_per_meal","weighted_weekly_needed_by_fi","weighted_annual_food_budget_shortfall","county"
" California",2021,"10.4%",3410,"23%",NA,"8%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","60.1%",NA,NA,"39.9%","14.4%","780","88%","12%","$4.21","$24.52","$2,536,000","Alameda County"
" California",2021,"11.3%",1132600,"20%","13%","8%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","72.6%",NA,NA,"27.4%","15.5%","336,120","69%","32%","$3.88","$22.57","$775,530,000","Alameda County"
" California",2021,"12.4%",19340,NA,"16%","8%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","80.9%",NA,NA,"19.1%","17.9%","7,750","74%","26%","$4.22","$24.57","$14,411,000","Alameda County"
" California",2021,"6.9%",18160,"19%","11%","3%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","50.9%",NA,NA,"49.1%","3.7%","1,960","100%","0%","$5.26","$30.62","$16,867,000","Alameda County"
" California",2021,"12.3%",2110,NA,"15%","9%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","85.1%",NA,NA,"14.9%","17.8%","520","62%","38%","$4.22","$24.57","$1,572,000","Alameda County"
" California",2021,"12.8%",11710,"23%","17%","9%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","84.2%",NA,NA,"15.8%","16.8%","3,290","77%","23%","$4.15","$24.15","$8,578,000","Alameda County"
" California",2021,"13.8%",38590,"25%","16%","10%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","84.4%",NA,NA,"15.6%","19.6%","16,170","74%","26%","$3.70","$21.57","$25,247,000","Alameda County"
" California",2021,"13.6%",1190,NA,"15%","11%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","84.9%",NA,NA,"15.1%","19.7%","340","79%","21%","$4.21","$24.52","$885,000","Alameda County"
" California",2021,"8.0%",1070,NA,"11%","4%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","73.2%",NA,NA,"26.8%","10.9%","290","73%","27%","$4.25","$24.73","$803,000","Alameda County"
" California",2021,"9.8%",43040,"14%","12%","6%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","76.5%",NA,NA,"23.5%","13.8%","15,950","74%","26%","$3.94","$22.97","$29,986,000","Alameda County"
" California",2021,"7.8%",10870,"10%","11%","4%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","60.6%",NA,NA,"39.4%","9.5%","2,700","63%","37%","$4.69","$27.31","$9,003,000","Alameda County"
" California",2021,"9.1%",9320,NA,"13%","5%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","71.0%",NA,NA,"29.0%","9.8%","1,730","79%","21%","$5.16","$30.07","$8,500,000","Alameda County"
" California",2021,"8.4%",267330,"15%","11%","5%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","64.9%",NA,NA,"35.1%","9.2%","64,460","71%","29%","$3.99","$23.25","$188,547,000","Alameda County"
" California",2021,"6.9%",27790,"5%","10%","4%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","54.7%",NA,NA,"45.3%","6.3%","5,660","60%","40%","$4.50","$26.23","$22,107,000","Alameda County"
" California",2021,"12.1%",2370,NA,"14%","8%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","77.0%",NA,NA,"23.0%","15.9%","540","65%","35%","$4.21","$24.52","$1,763,000","Alameda County"
" California",2021,"8.5%",205890,"14%","12%","6%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","78.0%",NA,NA,"22.0%","12.4%","75,180","70%","30%","$3.63","$21.13","$131,993,000","Alameda County"
" California",2021,"10.1%",159180,"20%","13%","7%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","72.0%",NA,NA,"28.0%","14.3%","53,200","72%","28%","$3.93","$22.91","$110,626,000","Alameda County"
" California",2021,"7.1%",4520,"6%","11%","3%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","65.6%",NA,NA,"34.4%","9.9%","1,620","66%","34%","$4.64","$27.00","$3,702,000","Alameda County"
" California",2021,"9.7%",210470,"20%","13%","7%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","78.2%",NA,NA,"21.8%","14.7%","84,090","71%","29%","$3.51","$20.44","$130,502,000","Alameda County"
" California",2021,"9.0%",297010,"20%","13%","6%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","66.0%",NA,NA,"34.0%","11.1%","79,510","66%","34%","$3.95","$23.00","$207,187,000","Alameda County"
" California",2021,"10.1%",87690,"24%","12%","5%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","52.5%",NA,NA,"47.5%","7.4%","8,790","71%","29%","$5.14","$29.94","$79,631,000","Alameda County"
" California",2021,"10.8%",83690,"18%","13%","7%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","74.7%",NA,NA,"25.3%","15.6%","32,690","68%","32%","$3.92","$22.80","$57,892,000","Alameda County"
" California",2021,"8.4%",23710,"16%","12%","7%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","69.2%",NA,NA,"30.8%","9.7%","4,850","64%","36%","$4.30","$25.06","$18,021,000","Alameda County"
" California",2021,"6.6%",50050,"11%","10%","2%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","49.3%",NA,NA,"50.7%","4.2%","6,550","82%","18%","$4.64","$27.01","$41,006,000","Alameda County"
" California",2021,"8.9%",39990,"19%","13%","6%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","79.4%",NA,NA,"20.6%","11.5%","11,600","73%","27%","$3.89","$22.67","$27,505,000","Alameda County"
" California",2021,"7.0%",135030,"15%","10%","3%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","49.9%",NA,NA,"50.1%","4.7%","19,760","79%","21%","$4.40","$25.64","$105,034,000","Alameda County"
" California",2021,"9.0%",24550,"13%","13%","5%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","67.7%",NA,NA,"32.3%","10.3%","5,330","67%","33%","$4.72","$27.49","$20,472,000","Alameda County"
" California",2021,"12.4%",22620,"18%","14%","9%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","79.1%",NA,NA,"20.9%","15.7%","6,210","69%","32%","$3.97","$23.13","$15,872,000","Alameda County"
" California",2021,"8.7%",270,NA,NA,"8%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","66.9%",NA,NA,"33.1%","9.4%","40","54%","46%","$5.16","$30.07","$246,000","Alameda County"
" California",2021,"13.7%",6050,"21%","16%","10%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","85.6%",NA,NA,"14.4%","17.5%","1,570","76%","24%","$3.90","$22.69","$4,164,000","Alameda County"
" California",2021,"8.3%",37290,"15%","11%","5%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","60.5%",NA,NA,"39.5%","13.3%","13,380","56%","44%","$3.90","$22.73","$25,713,000","Alameda County"
" California",2021,"8.3%",41080,"17%","11%","5%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","58.5%",NA,NA,"41.5%","9.4%","9,140","59%","41%","$4.61","$26.87","$33,485,000","Alameda County"
" California",2021,"11.0%",60680,"17%","14%","8%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","82.4%",NA,NA,"17.6%","15.2%","22,840","74%","26%","$3.86","$22.48","$41,378,000","Alameda County"
" California",2021,"11.7%",11550,"14%","14%","8%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","83.1%",NA,NA,"16.9%","15.3%","3,940","75%","25%","$3.73","$21.75","$7,620,000","Alameda County"
" California",2021,"13.4%",8750,"18%","16%","10%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","86.6%",NA,NA,"13.4%","18.4%","2,890","81%","19%","$3.67","$21.36","$5,669,000","Alameda County"
" California",2021,"14.7%",2320,NA,"19%","11%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","86.1%",NA,NA,"13.9%","20.4%","530","92%","8%","$3.97","$23.13","$1,628,000","Alameda County"
" California",2021,"13.6%",63940,"20%","16%","8%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","88.4%",NA,NA,"11.6%","18.7%","27,200","77%","23%","$3.62","$21.07","$40,865,000","Alameda County"
" California",2021,"11.0%",6060,NA,"13%","8%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","62.6%",NA,NA,"37.4%","13.4%","1,260","52%","48%","$4.25","$24.73","$4,546,000","Alameda County"
" California",2021,"8.0%",67210,"13%","12%","5%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","67.3%",NA,NA,"32.7%","10.0%","19,370","69%","31%","$4.03","$23.47","$47,843,000","Alameda County"
" California",2021,"9.6%",20850,"26%","13%","7%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","77.9%",NA,NA,"22.1%","9.9%","4,490","68%","32%","$4.00","$23.27","$14,720,000","Alameda County"
" California",2021,"12.2%",9800,"9%","14%","8%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","80.8%",NA,NA,"19.2%","15.6%","3,490","67%","33%","$3.42","$19.95","$5,930,000","Alameda County"
" California",2020,"9.3%",154830,"19%","13%","4%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","55.6%",NA,"44.4%","44.4%","11.4%","39,050","57%","44%","$4.25","$22.54","$105,872,000","Alameda County"
" California",2020,"11.7%",140,NA,NA,"5%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","76.5%",NA,"23.5%","23.5%","15.0%","40","91%","9%","$3.68","$19.52","$83,000","Alameda County"
" California",2020,"10.6%",4160,NA,"13%","5%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","51.0%",NA,"49.0%","49.0%","14.4%","860","57%","43%","$4.22","$22.38","$2,825,000","Alameda County"
" California",2020,"14.0%",31330,"30%","18%","10%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","80.7%",NA,"19.3%","19.3%","17.9%","8,050","69%","31%","$3.76","$19.97","$18,980,000","Alameda County"
" California",2020,"11.4%",5240,NA,"17%","6%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","69.9%",NA,"30.1%","30.1%","16.4%","1,250","65%","35%","$4.48","$23.77","$3,779,000","Alameda County"
" California",2020,"12.9%",2760,NA,"14%","7%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","85.6%",NA,"14.4%","14.4%","22.7%","1,330","78%","22%","$3.47","$18.41","$1,541,000","Alameda County"
" California",2020,"8.5%",97160,"15%","14%","3%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","57.5%",NA,"42.5%","42.5%","11.8%","30,650","56%","44%","$4.12","$21.88","$64,482,000","Alameda County"
" California",2020,"14.4%",3990,NA,"17%","9%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","72.7%",NA,"27.3%","27.3%","20.0%","1,200","80%","20%","$3.38","$17.96","$2,174,000","Alameda County"
" California",2020,"9.5%",18100,"14%","15%","4%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","53.9%",NA,"46.1%","46.1%","10.4%","3,930","51%","49%","$4.52","$23.99","$13,173,000","Alameda County"
" California",2020,"14.4%",142780,"26%","19%","7%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","85.1%",NA,"14.9%","14.9%","23.0%","64,640","80%","20%","$3.32","$17.61","$76,283,000","Alameda County"
" California",2020,"12.5%",3520,NA,"17%","7%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","93.2%",NA,"6.8%","6.8%","17.1%","1,280","79%","21%","$3.25","$17.23","$1,840,000","Alameda County"
" California",2020,"15.0%",20400,"33%","20%","10%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","80.7%",NA,"19.3%","19.3%","17.5%","4,550","72%","28%","$3.92","$20.78","$12,859,000","Alameda County"
" California",2020,"19.0%",34270,"25%","20%","7%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","84.7%",NA,"15.3%","15.3%","32.7%","16,930","78%","22%","$2.85","$15.15","$15,746,000","Alameda County"
" California",2020,"10.7%",1910,NA,"16%","5%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","64.6%",NA,"35.4%","35.4%","13.7%","510","51%","49%","$3.36","$17.81","$1,032,000","Alameda County"
" California",2020,"14.3%",127510,"26%","18%","9%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","86.0%",NA,"14.0%","14.0%","22.8%","58,950","84%","16%","$3.19","$16.92","$65,451,000","Alameda County"
" California",2020,"12.6%",19010,"18%","18%","7%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","83.3%",NA,"16.7%","16.7%","21.0%","8,610","81%","19%","$3.19","$16.93","$9,761,000","Alameda County"
" California",2020,"15.0%",9610,"26%","18%","10%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","79.4%",NA,"20.6%","20.6%","21.9%","2,960","74%","27%","$3.99","$21.18","$6,175,000","Alameda County"
" California",2020,"11.2%",3430,"20%",NA,"7%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","48.1%",NA,"51.9%","51.9%","15.7%","780","67%","33%","$3.80","$20.15","$2,096,000","Alameda County"
" California",2020,"12.7%",1271040,"20%","16%","7%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","76.8%",NA,"23.2%","23.2%","20.1%","438,950","73%","27%","$3.69","$19.59","$755,450,000","Alameda County"
" California",2020,"12.6%",19680,"19%","18%","7%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","84.0%",NA,"16.0%","16.0%","21.5%","9,210","82%","18%","$4.00","$21.23","$12,674,000","Alameda County"
" California",2020,"7.5%",19470,"17%","14%","3%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","52.2%",NA,"47.8%","47.8%","5.3%","2,760","89%","11%","$4.94","$26.20","$15,475,000","Alameda County"
" California",2020,"14.9%",2580,NA,"19%","9%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","77.2%",NA,"22.8%","22.8%","22.8%","650","67%","33%","$4.00","$21.23","$1,662,000","Alameda County"
" California",2020,"13.9%",12130,NA,"19%","9%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","82.0%",NA,"18.0%","18.0%","20.0%","3,710","81%","19%","$3.71","$19.70","$7,250,000","Alameda County"
" California",2020,"13.9%",38150,"25%","18%","9%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","90.2%",NA,"9.8%","9.8%","23.0%","18,530","85%","15%","$3.43","$18.19","$21,049,000","Alameda County"
" California",2020,"13.6%",1210,NA,"17%","8%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","81.5%",NA,"18.5%","18.5%","18.1%","310","87%","13%","$3.80","$20.15","$740,000","Alameda County"
" California",2020,"10.7%",1540,NA,"17%","3%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","63.2%",NA,"36.8%","36.8%","16.7%","500","68%","32%","$4.02","$21.36","$998,000","Alameda County"
" California",2020,"10.2%",44380,"17%","15%","5%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","82.7%",NA,"17.3%","17.3%","17.7%","20,030","83%","17%","$3.70","$19.62","$26,411,000","Alameda County"
" California",2020,"8.7%",12070,"12%","14%","4%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","59.4%",NA,"40.6%","40.6%","12.1%","3,440","61%","39%","$4.37","$23.20","$8,495,000","Alameda County"
" California",2020,"10.3%",10230,NA,"15%","5%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","63.4%",NA,"36.6%","36.6%","11.3%","1,930","71%","29%","$4.96","$26.34","$8,174,000","Alameda County"
" California",2020,"9.4%",296470,"15%","14%","4%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","66.8%",NA,"33.2%","33.2%","12.3%","85,990","70%","30%","$3.77","$20.02","$180,052,000","Alameda County"
" California",2020,"8.0%",31360,"10%","13%","3%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","50.5%",NA,"49.5%","49.5%","7.9%","6,860","53%","47%","$4.08","$21.66","$20,600,000","Alameda County"
" California",2020,"13.1%",2470,NA,"15%","6%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","65.8%",NA,"34.2%","34.2%","15.7%","500","62%","39%","$3.80","$20.15","$1,510,000","Alameda County"
" California",2020,"9.7%",237110,"15%","15%","6%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","79.6%",NA,"20.4%","20.4%","16.3%","99,900","72%","28%","$3.41","$18.09","$130,098,000","Alameda County"
" California",2020,"11.7%",179280,"20%","16%","6%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","72.0%",NA,"28.0%","28.0%","17.3%","63,100","70%","30%","$3.57","$18.93","$102,961,000","Alameda County"
" California",2020,"8.3%",5100,"9%","14%","4%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","72.2%",NA,"27.8%","27.8%","14.5%","2,300","71%","29%","$4.48","$23.77","$3,677,000","Alameda County"
" California",2020,"10.6%",228340,"21%","16%","7%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","80.9%",NA,"19.1%","19.1%","18.3%","104,370","75%","25%","$3.34","$17.71","$122,692,000","Alameda County"
" California",2020,"10.1%",336190,"20%","15%","5%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","68.1%",NA,"31.9%","31.9%","14.2%","102,300","67%","33%","$3.70","$19.62","$200,073,000","Alameda County"
" California",2020,"11.0%",95890,"23%","14%","5%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","54.5%",NA,"45.5%","45.5%","9.1%","10,730","65%","35%","$4.92","$26.13","$76,010,000","Alameda County"
" California",2020,"12.1%",90820,"20%","16%","7%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","77.3%",NA,"22.7%","22.7%","19.3%","39,270","71%","29%","$3.53","$18.72","$51,570,000","Alameda County"
" California",2020,"9.1%",25600,"13%","14%","6%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","67.1%",NA,"32.9%","32.9%","11.4%","5,670","63%","37%","$3.90","$20.71","$16,082,000","Alameda County"
" California",2020,"7.1%",53990,"13%","13%","2%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","52.8%",NA,"47.2%","47.2%","5.8%","9,150","75%","25%","$4.26","$22.61","$37,033,000","Alameda County"
" California",2020,"9.2%",41140,"18%","15%","6%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","84.8%",NA,"15.2%","15.2%","14.3%","14,170","80%","20%","$3.59","$19.05","$23,774,000","Alameda County"
" California",2020,"7.5%",144140,"15%","13%","3%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","54.2%",NA,"45.8%","45.8%","6.5%","27,400","72%","28%","$4.11","$21.80","$95,298,000","Alameda County"
" California",2020,"10.0%",27360,"13%","16%","5%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","68.2%",NA,"31.8%","31.8%","13.6%","7,090","65%","35%","$4.51","$23.94","$19,869,000","Alameda County"
" California",2020,"13.8%",24670,"18%","18%","8%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","73.0%",NA,"27.0%","27.0%","17.9%","6,910","67%","33%","$3.56","$18.90","$14,144,000","Alameda County"
" California",2020,"11.3%",330,NA,NA,"7%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","64.2%",NA,"35.8%","35.8%","13.6%","60","51%","49%","$4.96","$26.34","$264,000","Alameda County"
" California",2020,"15.0%",6510,NA,"20%","9%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","82.3%",NA,"17.7%","17.7%","19.9%","1,750","76%","24%","$3.51","$18.65","$3,684,000","Alameda County"
" California",2020,"9.4%",41840,"16%","13%","5%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","59.7%",NA,"40.3%","40.3%","16.0%","15,810","56%","44%","$3.55","$18.82","$23,888,000","Alameda County"
" California",2020,"9.3%",46040,"16%","14%","5%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","59.5%",NA,"40.5%","40.5%","12.1%","11,820","60%","40%","$4.30","$22.81","$31,858,000","Alameda County"
" California",2020,"11.8%",64320,"17%","16%","8%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","85.4%",NA,"14.6%","14.6%","18.5%","27,340","77%","23%","$3.61","$19.16","$37,385,000","Alameda County"
" California",2020,"12.5%",12060,"11%","17%","8%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","81.3%",NA,"18.7%","18.7%","18.3%","4,580","77%","23%","$3.27","$17.37","$6,356,000","Alameda County"
" California",2020,"14.5%",9310,NA,"20%","10%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","81.9%",NA,"18.1%","18.1%","20.6%","3,160","77%","23%","$3.39","$18.01","$5,086,000","Alameda County"
" California",2020,"15.9%",2000,NA,"23%","12%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","78.0%",NA,"22.0%","22.0%","21.8%","470","80%","20%","$3.56","$18.90","$1,147,000","Alameda County"
