"","fips","state","county","year","overall_food_insecurity_rate","number_of_food_insecure_persons_overall","low_threshold_in_state","low_threshold_type","high_threshold_in_state","high_threshold_type","percent_fi_low_threshold","percent_fi_btwn_thresholds","percent_fi_high_threshold","percent_fi_low_threshold_2","child_food_insecurity_rate","number_of_food_insecure_children","percent_food_insecure_children_in_hh_w_hh_incomes_below_185_fpl","percent_food_insecure_children_in_hh_w_hh_incomes_above_185_fpl","cost_per_meal","weighted_annual_food_budget_shortfall","compare_group","latitude","longitude"
"23",6045,"CA","Mendocino County",2021,"12.8%",11710,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","84.2%",NA,NA,"15.8%","16.8%","3,290","77%","23%","$4.15","$8,578,000","2",39.440445802,-123.391375934
"24",6047,"CA","Merced County",2021,"13.8%",38590,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","84.4%",NA,NA,"15.6%","19.6%","16,170","74%","26%","$3.70","$25,247,000","2",37.1928046251,-120.717925436
"25",6049,"CA","Modoc County",2021,"13.6%",1190,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","84.9%",NA,NA,"15.1%","19.7%","340","79%","21%","$4.21","$885,000","2",41.5897858558,-120.725182912
"26",6051,"CA","Mono County",2021,"8.0%",1070,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","73.2%",NA,NA,"26.8%","10.9%","290","73%","27%","$4.25","$803,000","2",37.9391539251,-118.886797787
"27",6053,"CA","Monterey County",2021,"9.8%",43040,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","76.5%",NA,NA,"23.5%","13.8%","15,950","74%","26%","$3.94","$29,986,000","2",36.2172938519,-121.23941124
"28",6055,"CA","Napa County",2021,"7.8%",10870,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","60.6%",NA,NA,"39.4%","9.5%","2,700","63%","37%","$4.69","$9,003,000","2",38.5076030306,-122.330530356
"29",6057,"CA","Nevada County",2021,"9.1%",9320,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","71.0%",NA,NA,"29.0%","9.8%","1,730","79%","21%","$5.16","$8,500,000","2",39.301273004,-120.768694433
"30",6059,"CA","Orange County",2021,"8.4%",267330,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","64.9%",NA,NA,"35.1%","9.2%","64,460","71%","29%","$3.99","$188,547,000","2",33.703091525,-117.761211249
"31",6061,"CA","Placer County",2021,"6.9%",27790,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","54.7%",NA,NA,"45.3%","6.3%","5,660","60%","40%","$4.50","$22,107,000","2",39.063936061,-120.717238332
"32",6063,"CA","Plumas County",2021,"12.1%",2370,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","77.0%",NA,NA,"23.0%","15.9%","540","65%","35%","$4.21","$1,763,000","2",40.0047236595,-120.838727612
"33",6065,"CA","Riverside County",2021,"8.5%",205890,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","78.0%",NA,NA,"22.0%","12.4%","75,180","70%","30%","$3.63","$131,993,000","2",33.74364051,-115.994021641
"34",6067,"CA","Sacramento County",2021,"10.1%",159180,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","72.0%",NA,NA,"28.0%","14.3%","53,200","72%","28%","$3.93","$110,626,000","2",38.4543841802,-121.338809393
"35",6069,"CA","San Benito County",2021,"7.1%",4520,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","65.6%",NA,NA,"34.4%","9.9%","1,620","66%","34%","$4.64","$3,702,000","2",36.6055494282,-121.074869757
"36",6071,"CA","San Bernardino County",2021,"9.7%",210470,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","78.2%",NA,NA,"21.8%","14.7%","84,090","71%","29%","$3.51","$130,502,000","2",34.8413712057,-116.178482683
"37",6073,"CA","San Diego County",2021,"9.0%",297010,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","66.0%",NA,NA,"34.0%","11.1%","79,510","66%","34%","$3.95","$207,187,000","2",33.03590414,-116.733115518
"38",6075,"CA","San Francisco County",2021,"10.1%",87690,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","52.5%",NA,NA,"47.5%","7.4%","8,790","71%","29%","$5.14","$79,631,000","2",37.7545101587,-122.442201158
"39",6077,"CA","San Joaquin County",2021,"10.8%",83690,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","74.7%",NA,NA,"25.3%","15.6%","32,690","68%","32%","$3.92","$57,892,000","2",37.9347888756,-121.271031094
"40",6079,"CA","San Luis Obispo County",2021,"8.4%",23710,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","69.2%",NA,NA,"30.8%","9.7%","4,850","64%","36%","$4.30","$18,021,000","2",35.3871699387,-120.404113779
"41",6081,"CA","San Mateo County",2021,"6.6%",50050,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","49.3%",NA,NA,"50.7%","4.2%","6,550","82%","18%","$4.64","$41,006,000","2",37.4222797899,-122.328717603
"42",6083,"CA","Santa Barbara County",2021,"8.9%",39990,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","79.4%",NA,NA,"20.6%","11.5%","11,600","73%","27%","$3.89","$27,505,000","2",34.7247642306,-120.022280302
"43",6085,"CA","Santa Clara County",2021,"7.0%",135030,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","49.9%",NA,NA,"50.1%","4.7%","19,760","79%","21%","$4.40","$105,034,000","2",37.2314656159,-121.694370762
"44",6087,"CA","Santa Cruz County",2021,"9.0%",24550,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","67.7%",NA,NA,"32.3%","10.3%","5,330","67%","33%","$4.72","$20,472,000","2",37.0562738337,-122.001503233
"45",6089,"CA","Shasta County",2021,"12.4%",22620,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","79.1%",NA,NA,"20.9%","15.7%","6,210","69%","32%","$3.97","$15,872,000","2",40.7638035968,-122.040258069
"46",6091,"CA","Sierra County",2021,"8.7%",270,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","66.9%",NA,NA,"33.1%","9.4%","40","54%","46%","$5.16","$246,000","2",39.5802326921,-120.5158689
"47",6093,"CA","Siskiyou County",2021,"13.7%",6050,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","85.6%",NA,NA,"14.4%","17.5%","1,570","76%","24%","$3.90","$4,164,000","2",41.5927766918,-122.540597429
"48",6095,"CA","Solano County",2021,"8.3%",37290,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","60.5%",NA,NA,"39.5%","13.3%","13,380","56%","44%","$3.90","$25,713,000","2",38.2809617098,-121.925388545
"49",6097,"CA","Sonoma County",2021,"8.3%",41080,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","58.5%",NA,NA,"41.5%","9.4%","9,140","59%","41%","$4.61","$33,485,000","2",38.5285599879,-122.887483333
"50",6099,"CA","Stanislaus County",2021,"11.0%",60680,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","82.4%",NA,NA,"17.6%","15.2%","22,840","74%","26%","$3.86","$41,378,000","2",37.5596231173,-120.997728951
"51",6101,"CA","Sutter County",2021,"11.7%",11550,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","83.1%",NA,NA,"16.9%","15.3%","3,940","75%","25%","$3.73","$7,620,000","2",39.0347176537,-121.694837777
"52",6103,"CA","Tehama County",2021,"13.4%",8750,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","86.6%",NA,NA,"13.4%","18.4%","2,890","81%","19%","$3.67","$5,669,000","2",40.1257489332,-122.234030581
"53",6105,"CA","Trinity County",2021,"14.7%",2320,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","86.1%",NA,NA,"13.9%","20.4%","530","92%","8%","$3.97","$1,628,000","2",40.6506363021,-123.112687957
"54",6107,"CA","Tulare County",2021,"13.6%",63940,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","88.4%",NA,NA,"11.6%","18.7%","27,200","77%","23%","$3.62","$40,865,000","2",36.2204314354,-118.800475359
"55",6109,"CA","Tuolumne County",2021,"11.0%",6060,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","62.6%",NA,NA,"37.4%","13.4%","1,260","52%","48%","$4.25","$4,546,000","2",38.0277827472,-119.954608354
"56",6111,"CA","Ventura County",2021,"8.0%",67210,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","67.3%",NA,NA,"32.7%","10.0%","19,370","69%","31%","$4.03","$47,843,000","2",34.4716370318,-119.078252096
"57",6113,"CA","Yolo County",2021,"9.6%",20850,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","77.9%",NA,NA,"22.1%","9.9%","4,490","68%","32%","$4.00","$14,720,000","2",38.6870109765,-121.901509517
"58",6115,"CA","Yuba County",2021,"12.2%",9800,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","80.8%",NA,NA,"19.2%","15.6%","3,490","67%","33%","$3.42","$5,930,000","2",39.269286796,-121.35122881
"59",6001,"CA","Alameda County",2020,"9.3%",154830,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","55.6%",NA,"44.4%","44.4%","11.4%","39,050","57%","44%","$4.25","$105,872,000","2",37.6448737628,-121.882288836
"60",6003,"CA","Alpine County",2020,"11.7%",140,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","76.5%",NA,"23.5%","23.5%","15.0%","40","91%","9%","$3.68","$83,000","2",38.5979709975,-119.820210752
"61",6005,"CA","Amador County",2020,"10.6%",4160,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","51.0%",NA,"49.0%","49.0%","14.4%","860","57%","43%","$4.22","$2,825,000","2",38.4461173773,-120.65157196
"62",6007,"CA","Butte County",2020,"14.0%",31330,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","80.7%",NA,"19.3%","19.3%","17.9%","8,050","69%","31%","$3.76","$18,980,000","2",39.6670113073,-121.600718282
"63",6009,"CA","Calaveras County",2020,"11.4%",5240,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","69.9%",NA,"30.1%","30.1%","16.4%","1,250","65%","35%","$4.48","$3,779,000","2",38.2050147927,-120.553756737
"64",6011,"CA","Colusa County",2020,"12.9%",2760,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","85.6%",NA,"14.4%","14.4%","22.7%","1,330","78%","22%","$3.47","$1,541,000","2",39.1775362451,-122.237100273
"65",6013,"CA","Contra Costa County",2020,"8.5%",97160,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","57.5%",NA,"42.5%","42.5%","11.8%","30,650","56%","44%","$4.12","$64,482,000","2",37.9155346665,-121.927176832
"66",6015,"CA","Del Norte County",2020,"14.4%",3990,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","72.7%",NA,"27.3%","27.3%","20.0%","1,200","80%","20%","$3.38","$2,174,000","2",41.7434380162,-123.896950371
"67",6017,"CA","El Dorado County",2020,"9.5%",18100,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","53.9%",NA,"46.1%","46.1%","10.4%","3,930","51%","49%","$4.52","$13,173,000","2",38.7787541226,-120.525262109
"68",6019,"CA","Fresno County",2020,"14.4%",142780,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","85.1%",NA,"14.9%","14.9%","23.0%","64,640","80%","20%","$3.32","$76,283,000","2",36.7583709705,-119.651022678
"69",6021,"CA","Glenn County",2020,"12.5%",3520,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","93.2%",NA,"6.8%","6.8%","17.1%","1,280","79%","21%","$3.25","$1,840,000","2",39.5983656482,-122.392092433
"70",6023,"CA","Humboldt County",2020,"15.0%",20400,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","80.7%",NA,"19.3%","19.3%","17.5%","4,550","72%","28%","$3.92","$12,859,000","2",40.6986310325,-123.873713677
"71",6025,"CA","Imperial County",2020,"19.0%",34270,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","84.7%",NA,"15.3%","15.3%","32.7%","16,930","78%","22%","$2.85","$15,746,000","2",33.0396666316,-115.365267034
"72",6027,"CA","Inyo County",2020,"10.7%",1910,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","64.6%",NA,"35.4%","35.4%","13.7%","510","51%","49%","$3.36","$1,032,000","2",36.5112075686,-117.410731439
"73",6029,"CA","Kern County",2020,"14.3%",127510,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","86.0%",NA,"14.0%","14.0%","22.8%","58,950","84%","16%","$3.19","$65,451,000","2",35.3428386484,-118.729938045
"74",6031,"CA","Kings County",2020,"12.6%",19010,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","83.3%",NA,"16.7%","16.7%","21.0%","8,610","81%","19%","$3.19","$9,761,000","2",36.075306112,-119.815547843
"75",6033,"CA","Lake County",2020,"15.0%",9610,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","79.4%",NA,"20.6%","20.6%","21.9%","2,960","74%","27%","$3.99","$6,175,000","2",39.0996074075,-122.753384296
"76",6035,"CA","Lassen County",2020,"11.2%",3430,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","48.1%",NA,"51.9%","51.9%","15.7%","780","67%","33%","$3.80","$2,096,000","2",40.6735197906,-120.594276729
"77",6037,"CA","Los Angeles County",2020,"12.7%",1271040,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","76.8%",NA,"23.2%","23.2%","20.1%","438,950","73%","27%","$3.69","$755,450,000","2",34.3615935047,-118.216981811
"78",6039,"CA","Madera County",2020,"12.6%",19680,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","84.0%",NA,"16.0%","16.0%","21.5%","9,210","82%","18%","$4.00","$12,674,000","2",37.21816377,-119.762685404
"79",6041,"CA","Marin County",2020,"7.5%",19470,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","52.2%",NA,"47.8%","47.8%","5.3%","2,760","89%","11%","$4.94","$15,475,000","2",38.0728900672,-122.71915116
"80",6043,"CA","Mariposa County",2020,"14.9%",2580,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","77.2%",NA,"22.8%","22.8%","22.8%","650","67%","33%","$4.00","$1,662,000","2",37.5813163577,-119.906074042
"81",6045,"CA","Mendocino County",2020,"13.9%",12130,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","82.0%",NA,"18.0%","18.0%","20.0%","3,710","81%","19%","$3.71","$7,250,000","2",39.440445802,-123.391375934
"82",6047,"CA","Merced County",2020,"13.9%",38150,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","90.2%",NA,"9.8%","9.8%","23.0%","18,530","85%","15%","$3.43","$21,049,000","2",37.1928046251,-120.717925436
"83",6049,"CA","Modoc County",2020,"13.6%",1210,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","81.5%",NA,"18.5%","18.5%","18.1%","310","87%","13%","$3.80","$740,000","2",41.5897858558,-120.725182912
"84",6051,"CA","Mono County",2020,"10.7%",1540,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","63.2%",NA,"36.8%","36.8%","16.7%","500","68%","32%","$4.02","$998,000","2",37.9391539251,-118.886797787
"85",6053,"CA","Monterey County",2020,"10.2%",44380,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","82.7%",NA,"17.3%","17.3%","17.7%","20,030","83%","17%","$3.70","$26,411,000","2",36.2172938519,-121.23941124
"86",6055,"CA","Napa County",2020,"8.7%",12070,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","59.4%",NA,"40.6%","40.6%","12.1%","3,440","61%","39%","$4.37","$8,495,000","2",38.5076030306,-122.330530356
"87",6057,"CA","Nevada County",2020,"10.3%",10230,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","63.4%",NA,"36.6%","36.6%","11.3%","1,930","71%","29%","$4.96","$8,174,000","2",39.301273004,-120.768694433
"88",6059,"CA","Orange County",2020,"9.4%",296470,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","66.8%",NA,"33.2%","33.2%","12.3%","85,990","70%","30%","$3.77","$180,052,000","2",33.703091525,-117.761211249
"89",6061,"CA","Placer County",2020,"8.0%",31360,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","50.5%",NA,"49.5%","49.5%","7.9%","6,860","53%","47%","$4.08","$20,600,000","2",39.063936061,-120.717238332
"90",6063,"CA","Plumas County",2020,"13.1%",2470,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","65.8%",NA,"34.2%","34.2%","15.7%","500","62%","39%","$3.80","$1,510,000","2",40.0047236595,-120.838727612
"91",6065,"CA","Riverside County",2020,"9.7%",237110,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","79.6%",NA,"20.4%","20.4%","16.3%","99,900","72%","28%","$3.41","$130,098,000","2",33.74364051,-115.994021641
"92",6067,"CA","Sacramento County",2020,"11.7%",179280,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","72.0%",NA,"28.0%","28.0%","17.3%","63,100","70%","30%","$3.57","$102,961,000","2",38.4543841802,-121.338809393
"93",6069,"CA","San Benito County",2020,"8.3%",5100,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","72.2%",NA,"27.8%","27.8%","14.5%","2,300","71%","29%","$4.48","$3,677,000","2",36.6055494282,-121.074869757
"94",6071,"CA","San Bernardino County",2020,"10.6%",228340,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","80.9%",NA,"19.1%","19.1%","18.3%","104,370","75%","25%","$3.34","$122,692,000","2",34.8413712057,-116.178482683
"95",6073,"CA","San Diego County",2020,"10.1%",336190,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","68.1%",NA,"31.9%","31.9%","14.2%","102,300","67%","33%","$3.70","$200,073,000","2",33.03590414,-116.733115518
"96",6075,"CA","San Francisco County",2020,"11.0%",95890,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","54.5%",NA,"45.5%","45.5%","9.1%","10,730","65%","35%","$4.92","$76,010,000","2",37.7545101587,-122.442201158
"97",6077,"CA","San Joaquin County",2020,"12.1%",90820,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","77.3%",NA,"22.7%","22.7%","19.3%","39,270","71%","29%","$3.53","$51,570,000","2",37.9347888756,-121.271031094
"98",6079,"CA","San Luis Obispo County",2020,"9.1%",25600,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","67.1%",NA,"32.9%","32.9%","11.4%","5,670","63%","37%","$3.90","$16,082,000","2",35.3871699387,-120.404113779
"99",6081,"CA","San Mateo County",2020,"7.1%",53990,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","52.8%",NA,"47.2%","47.2%","5.8%","9,150","75%","25%","$4.26","$37,033,000","2",37.4222797899,-122.328717603
"100",6083,"CA","Santa Barbara County",2020,"9.2%",41140,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","84.8%",NA,"15.2%","15.2%","14.3%","14,170","80%","20%","$3.59","$23,774,000","2",34.7247642306,-120.022280302
"101",6085,"CA","Santa Clara County",2020,"7.5%",144140,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","54.2%",NA,"45.8%","45.8%","6.5%","27,400","72%","28%","$4.11","$95,298,000","2",37.2314656159,-121.694370762
"102",6087,"CA","Santa Cruz County",2020,"10.0%",27360,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","68.2%",NA,"31.8%","31.8%","13.6%","7,090","65%","35%","$4.51","$19,869,000","2",37.0562738337,-122.001503233
"103",6089,"CA","Shasta County",2020,"13.8%",24670,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","73.0%",NA,"27.0%","27.0%","17.9%","6,910","67%","33%","$3.56","$14,144,000","2",40.7638035968,-122.040258069
"104",6091,"CA","Sierra County",2020,"11.3%",330,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","64.2%",NA,"35.8%","35.8%","13.6%","60","51%","49%","$4.96","$264,000","2",39.5802326921,-120.5158689
"105",6093,"CA","Siskiyou County",2020,"15.0%",6510,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","82.3%",NA,"17.7%","17.7%","19.9%","1,750","76%","24%","$3.51","$3,684,000","2",41.5927766918,-122.540597429
