"","county","year","fips","state","overall_food_insecurity_rate","number_of_food_insecure_persons_overall","low_threshold_in_state","low_threshold_type","high_threshold_in_state","high_threshold_type","percent_fi_low_threshold","percent_fi_btwn_thresholds","percent_fi_high_threshold","percent_fi_low_threshold_2","child_food_insecurity_rate","number_of_food_insecure_children","percent_food_insecure_children_in_hh_w_hh_incomes_below_185_fpl","percent_food_insecure_children_in_hh_w_hh_incomes_above_185_fpl","cost_per_meal","weighted_annual_food_budget_shortfall","compare_group","latitude","longitude","labor_force_avg","employment_avg","unemployment_avg","unemployment_rate_avg","avg_snap_benefit","avg_snap_benefit_per_meal","snap_meal_cost_diff"
"31","Amador County",2016,6005,"CA",12.8,4710,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","58.7%",NA,"41.3%","NA","20.3%","1,170","68%","32%",3.98,"$3,202,000.00","1",38.4461173773,-120.65157196,14525,13658.3333333333,867.5,0.0596666666666667,138.97,1.52,2.46
"32","Amador County",2017,6005,"CA",11.6,4320,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","55.8%",NA,"44.2%","NA","19.4%","1,110","68%","32%",4,"$2,950,000.00","1",38.4461173773,-120.65157196,14693.3333333333,13958.3333333333,735,0.0501666666666667,136.44,1.5,2.5
"33","Amador County",2018,6005,"CA",10.9,4110,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","61.8%",NA,"38.2%","NA","17.5%","1020","67%","33%",4.2,"$2,919,000.00","1",38.4461173773,-120.65157196,14673.3333333333,14071.6666666667,600.833333333333,0.041,136.22,1.49,2.71
"34","Amador County",2019,6005,"CA",10.7,4120,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","53.3%",NA,"46.7%","46.7%","16.1%","940","66%","35%",4.15,"$2,920,000","2",38.4461173773,-120.65157196,14834.1666666667,14254.1666666667,579.166666666667,0.0391666666666667,141.13,1.55,2.6
"35","Amador County",2020,6005,"CA",10.6,4160,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","51.0%",NA,"49.0%","49.0%","14.4%","860","57%","43%",4.22,"$2,825,000","2",38.4461173773,-120.65157196,14503.3333333333,13143.3333333333,1360.83333333333,0.09425,151.1,1.66,2.56
"36","Amador County",2021,6005,"CA",9.1,3660,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","56.7%",NA,NA,"43.3%","11.4%","700","64%","36%",4.52,"$2,921,000","2",38.4461173773,-120.65157196,14399.1666666667,13392.5,1008.33333333333,0.0699166666666667,216.53,2.37,2.15
"37","Butte County",2010,6007,"CA",19.4,42420,"130.0%","SNAP","185.0%","Other Nutrition Program","53.9%","18.0%","28.1%","NA","27.3%","12460","70%","30%",2.59,"$18,911,500","1",39.6670113073,-121.600718282,102716.666666667,88091.6666666667,14625,0.14225,146.46,1.61,0.98
"38","Butte County",2011,6007,"CA",18.4,40400,"130%","SNAP","185%","Other Nutrition Program","56.4%","22.8%","20.8%","NA","27.7%","12790","77%","23%",2.78,"$18,309,940.00","1",39.6670113073,-121.600718282,100550,86566.6666666667,13991.6666666667,0.138916666666667,147.06,1.61,1.17
"39","Butte County",2012,6007,"CA",18.2,40160,"130%","SNAP","185%","Other Nutrition Program","60.1%","18.5%","21.4%","NA","27.3%","12,580","75%","25%",2.77,"$19,479,000.00","1",39.6670113073,-121.600718282,100825,88358.3333333333,12466.6666666667,0.1235,149.05,1.63,1.14
"40","Butte County",2013,6007,"CA",18.4,40640,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","80.0%","0.0%","20.0%","NA","27.3%","12,470","74%","26%",2.98,"$21,435,000.00","1",39.6670113073,-121.600718282,101408.333333333,90825,10583.3333333333,0.1045,151.44,1.66,1.32
"41","Butte County",2014,6007,"CA",18,39960,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","82.3%",NA,"17.7%","NA","27.1%","12,330","73%","27%",3.03,"$21,387,000.00","1",39.6670113073,-121.600718282,101058.333333333,92208.3333333333,8841.66666666667,0.0875,141.99,1.56,1.47
"42","Butte County",2015,6007,"CA",17.9,39860,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","82.2%",NA,"17.8%","NA","24.3%","11,020","76%","24%",3.14,"$22,455,000.00","1",39.6670113073,-121.600718282,101058.333333333,93766.6666666667,7300,0.07225,142,1.56,1.58
"43","Butte County",2016,6007,"CA",17,38000,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","79.0%",NA,"21.0%","NA","22.1%","10,050","73%","27%",3.17,"$20,553,000.00","1",39.6670113073,-121.600718282,101650,94925,6750,0.0664166666666667,138.97,1.52,1.65
"44","Butte County",2017,6007,"CA",16,35920,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","77.2%",NA,"22.8%","NA","20.7%","9,430","72%","28%",3.26,"$20,009,000.00","1",39.6670113073,-121.600718282,102000,96050,5941.66666666667,0.05825,136.44,1.5,1.76
"45","Butte County",2018,6007,"CA",14.2,32300,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","82.4%",NA,"17.6%","NA","20.3%","9250","68%","32%",3.37,"$18,433,000.00","1",39.6670113073,-121.600718282,101816.666666667,96666.6666666667,5158.33333333333,0.0508333333333333,136.22,1.49,1.88
"46","Butte County",2019,6007,"CA",14.4,32450,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","75.8%",NA,"24.2%","24.2%","18.7%","8,510","65%","35%",3.25,"$18,034,000","2",39.6670113073,-121.600718282,98116.6666666667,93100,5016.66666666667,0.0510833333333333,141.13,1.55,1.7
"47","Butte County",2020,6007,"CA",14,31330,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","80.7%",NA,"19.3%","19.3%","17.9%","8,050","69%","31%",3.76,"$18,980,000","2",39.6670113073,-121.600718282,93416.6666666667,84675,8750,0.0940833333333333,151.1,1.66,2.1
"48","Butte County",2021,6007,"CA",12.6,27550,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","83.3%",NA,NA,"16.7%","15.3%","6,760","73%","28%",4.05,"$19,704,000","2",39.6670113073,-121.600718282,92208.3333333333,85866.6666666667,6366.66666666667,0.0688333333333333,216.53,2.37,1.68
"49","Calaveras County",2010,6009,"CA",18,8290,"130.0%","SNAP","185.0%","Other Nutrition Program","31.9%","16.8%","51.3%","NA","24.2%","2150","47%","53%",3.23,"$4,609,060","1",38.2050147927,-120.553756737,21045,17930.8333333333,3113.33333333333,0.148,146.46,1.61,1.62
"50","Calaveras County",2011,6009,"CA",14.6,6680,"130%","SNAP","185%","Other Nutrition Program","29.9%","21.3%","48.8%","NA","21.4%","1930","48%","52%",3.6,"$3,920,480.00","1",38.2050147927,-120.553756737,20647.5,17700.8333333333,2946.66666666667,0.14275,147.06,1.61,1.99
"51","Calaveras County",2012,6009,"CA",14.7,6670,"130%","SNAP","185%","Other Nutrition Program","37.7%","20.6%","41.7%","NA","22.3%","1,950","53%","47%",3.4,"$3,971,000.00","1",38.2050147927,-120.553756737,20166.6666666667,17635,2530.83333333333,0.125583333333333,149.05,1.63,1.77
"52","Calaveras County",2013,6009,"CA",15.2,6870,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","55.5%","0.0%","44.5%","NA","23.2%","1,990","44%","56%",3.6,"$4,380,000.00","1",38.2050147927,-120.553756737,20187.5,18157.5,2030.83333333333,0.10075,151.44,1.66,1.94
"53","Calaveras County",2014,6009,"CA",14.1,6320,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","60.0%",NA,"40.0%","NA","22.7%","1,910","46%","54%",4.12,"$4,596,000.00","1",38.2050147927,-120.553756737,20204.1666666667,18569.1666666667,1635,0.0810833333333333,141.99,1.56,2.56
"54","Calaveras County",2015,6009,"CA",13.8,6170,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","65.5%",NA,"34.5%","NA","20.8%","1,700","57%","43%",4.31,"$4,767,000.00","1",38.2050147927,-120.553756737,20550,19231.6666666667,1318.33333333333,0.0644166666666667,142,1.56,2.75
"55","Calaveras County",2016,6009,"CA",13,5840,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","70.6%",NA,"29.4%","NA","19.8%","1,590","65%","35%",4.37,"$4,364,000.00","1",38.2050147927,-120.553756737,20797.5,19615,1182.5,0.0569166666666667,138.97,1.52,2.85
"56","Calaveras County",2017,6009,"CA",12.2,5480,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","69.5%",NA,"30.5%","NA","19.4%","1,540","67%","33%",4.49,"$4,201,000.00","1",38.2050147927,-120.553756737,21016.6666666667,20013.3333333333,1000.83333333333,0.0475833333333333,136.44,1.5,2.99
"57","Calaveras County",2018,6009,"CA",12.2,5510,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","75.5%",NA,"24.5%","NA","20.3%","1580","65%","35%",4.44,"$4,139,000.00","1",38.2050147927,-120.553756737,21166.6666666667,20311.6666666667,855,0.0403333333333333,136.22,1.49,2.95
"58","Calaveras County",2019,6009,"CA",11.8,5360,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","63.6%",NA,"36.4%","36.4%","18.7%","1,460","65%","35%",4.62,"$4,229,000","2",38.2050147927,-120.553756737,21358.3333333333,20539.1666666667,820,0.0384166666666667,141.13,1.55,3.07
"59","Calaveras County",2020,6009,"CA",11.4,5240,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","69.9%",NA,"30.1%","30.1%","16.4%","1,250","65%","35%",4.48,"$3,779,000","2",38.2050147927,-120.553756737,21395.8333333333,19726.6666666667,1670.83333333333,0.0784166666666667,151.1,1.66,2.82
"60","Calaveras County",2021,6009,"CA",11.2,5100,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","70.7%",NA,NA,"29.3%","16.2%","1,250","69%","31%",4.43,"$3,994,000","2",38.2050147927,-120.553756737,21606.6666666667,20356.6666666667,1250.83333333333,0.0579166666666667,216.53,2.37,2.06
"61","Colusa County",2010,6011,"CA",20.7,4390,"130.0%","SNAP","185.0%","Other Nutrition Program","51.8%","28.1%","20.1%","NA","34.7%","2110","71%","29%",3.6,"$2,720,340","1",39.1775362451,-122.237100273,11560.8333333333,9095.83333333333,2465,0.213333333333333,146.46,1.61,1.99
"62","Colusa County",2011,6011,"CA",19.8,4210,"130%","SNAP","185%","Other Nutrition Program","52.7%","19.9%","27.4%","NA","33.3%","2120","79%","21%",3.99,"$2,738,520.00","1",39.1775362451,-122.237100273,11379.1666666667,8924.16666666667,2455.83333333333,0.218,147.06,1.61,2.38
"63","Colusa County",2012,6011,"CA",17.6,3760,"130%","SNAP","185%","Other Nutrition Program","59.1%","18.6%","22.3%","NA","32.5%","2,060","84%","16%",3.97,"$2,611,000.00","1",39.1775362451,-122.237100273,11270,8902.5,2370.83333333333,0.212,149.05,1.63,2.34
"64","Colusa County",2013,6011,"CA",14.8,3150,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","90.7%","0.0%","9.3%","NA","29.0%","1,810","85%","15%",4,"$2,230,000.00","1",39.1775362451,-122.237100273,11269.1666666667,9114.16666666667,2155,0.19175,151.44,1.66,2.34
"65","Colusa County",2014,6011,"CA",14.3,3060,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","97.1%",NA,"2.9%","NA","27.6%","1,700","85%","15%",2.94,"$1,589,000.00","1",39.1775362451,-122.237100273,11079.1666666667,9132.5,1949.16666666667,0.17675,141.99,1.56,1.38
"66","Colusa County",2015,6011,"CA",11.7,2500,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","100.0%",NA,"0.0%","NA","25.4%","1,540","81%","20%",2.98,"$1,337,000.00","1",39.1775362451,-122.237100273,11052.5,9342.5,1709.16666666667,0.155833333333333,142,1.56,1.42
"67","Colusa County",2016,6011,"CA",11.3,2410,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","100.0%",NA,"0.0%","NA","25.1%","1,490","83%","17%",3.07,"$1,265,000.00","1",39.1775362451,-122.237100273,10908.3333333333,9206.66666666667,1702.5,0.156333333333333,138.97,1.52,1.55
"68","Colusa County",2017,6011,"CA",11.8,2530,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","94.5%",NA,"5.5%","NA","24.7%","1,470","77%","23%",3.34,"$1,440,000.00","1",39.1775362451,-122.237100273,10816.6666666667,9267.5,1550,0.144083333333333,136.44,1.5,1.84
"69","Colusa County",2018,6011,"CA",13.8,2950,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","94.5%",NA,"5.5%","NA","23.1%","1360","86%","14%",3.36,"$1,675,000.00","1",39.1775362451,-122.237100273,10845,9411.66666666667,1433.33333333333,0.132,136.22,1.49,1.87
"70","Colusa County",2019,6011,"CA",13.4,2870,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","90.7%",NA,"9.3%","9.3%","21.9%","1,280","83%","17%",3.37,"$1,652,000","2",39.1775362451,-122.237100273,10990,9575,1415.83333333333,0.129333333333333,141.13,1.55,1.82
"71","Colusa County",2020,6011,"CA",12.9,2760,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","85.6%",NA,"14.4%","14.4%","22.7%","1,330","78%","22%",3.47,"$1,541,000","2",39.1775362451,-122.237100273,10644.1666666667,8893.33333333333,1751.66666666667,0.163,151.1,1.66,1.81
"72","Colusa County",2021,6011,"CA",12.4,2700,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","85.1%",NA,NA,"14.9%","18.1%","1,080","71%","29%",3.64,"$1,737,000","2",39.1775362451,-122.237100273,10668.3333333333,9330.83333333333,1338.33333333333,0.125666666666667,216.53,2.37,1.27
"73","Contra Costa County",2010,6013,"CA",15.1,155020,"130.0%","SNAP","185.0%","Other Nutrition Program","34.0%","13.0%","53.0%","NA","20.2%","51720","51%","50%",2.77,"$73,913,390","1",37.9155346665,-121.927176832,525741.666666667,466716.666666667,59008.3333333333,0.112166666666667,146.46,1.61,1.16
"74","Contra Costa County",2011,6013,"CA",13.8,143070,"130%","SNAP","185%","Other Nutrition Program","36.1%","15.8%","48.1%","NA","19.1%","49440","53%","47%",2.98,"$69,506,530.00","1",37.9155346665,-121.927176832,528500,473141.666666667,55366.6666666667,0.104833333333333,147.06,1.61,1.37
"75","Contra Costa County",2012,6013,"CA",13.2,139290,"130%","SNAP","185%","Other Nutrition Program","40.0%","15.0%","45.0%","NA","19.5%","50,760","54%","47%",2.98,"$72,662,000.00","1",37.9155346665,-121.927176832,534516.666666667,485933.333333333,48591.6666666667,0.0910833333333333,149.05,1.63,1.35
"76","Contra Costa County",2013,6013,"CA",12.9,137910,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","60.7%","0.0%","39.3%","NA","19.8%","51,540","56%","44%",3.31,"$80,710,000.00","1",37.9155346665,-121.927176832,536033.333333333,495291.666666667,40733.3333333333,0.076,151.44,1.66,1.65
"77","Contra Costa County",2014,6013,"CA",12.5,134810,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","62.3%",NA,"37.7%","NA","18.7%","48,690","55%","45%",3.28,"$78,156,000.00","1",37.9155346665,-121.927176832,538466.666666667,504833.333333333,33633.3333333333,0.0625833333333333,141.99,1.56,1.72
"78","Contra Costa County",2015,6013,"CA",12,131060,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","63.6%",NA,"36.4%","NA","17.3%","45,060","57%","43%",3.44,"$80,832,000.00","1",37.9155346665,-121.927176832,544625,517066.666666667,27575,0.0506666666666667,142,1.56,1.88
"79","Contra Costa County",2016,6013,"CA",11.1,123170,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","63.5%",NA,"36.5%","NA","15.6%","40,700","57%","43%",3.53,"$74,353,000.00","1",37.9155346665,-121.927176832,553225,528408.333333333,24808.3333333333,0.0448333333333333,138.97,1.52,2.01
"80","Contra Costa County",2017,6013,"CA",10.1,113940,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","63.3%",NA,"36.7%","NA","15.0%","39,250","54%","46%",3.61,"$70,237,000.00","1",37.9155346665,-121.927176832,557875,536308.333333333,21558.3333333333,0.03875,136.44,1.5,2.11
"81","Contra Costa County",2018,6013,"CA",8.5,96040,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","64.6%",NA,"35.4%","NA","11.6%","30440","56%","44%",3.77,"$61,249,000.00","1",37.9155346665,-121.927176832,560325,542308.333333333,18025,0.032,136.22,1.49,2.28
"82","Contra Costa County",2019,6013,"CA",7.6,87180,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","60.5%",NA,"39.5%","39.5%","10.4%","27,230","56%","44%",3.77,"$56,245,000","2",37.9155346665,-121.927176832,560966.666666667,543525,17458.3333333333,0.0310833333333333,141.13,1.55,2.22
"83","Contra Costa County",2020,6013,"CA",8.5,97160,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","57.5%",NA,"42.5%","42.5%","11.8%","30,650","56%","44%",4.12,"$64,482,000","2",37.9155346665,-121.927176832,547383.333333333,498091.666666667,49275,0.0905833333333333,151.1,1.66,2.46
