"","year","county","fips","state","overall_food_insecurity_rate","number_of_food_insecure_persons_overall","low_threshold_in_state","low_threshold_type","high_threshold_in_state","high_threshold_type","percent_fi_low_threshold","percent_fi_btwn_thresholds","percent_fi_high_threshold","percent_fi_low_threshold_2","child_food_insecurity_rate","number_of_food_insecure_children","percent_food_insecure_children_in_hh_w_hh_incomes_below_185_fpl","percent_food_insecure_children_in_hh_w_hh_incomes_above_185_fpl","cost_per_meal","weighted_annual_food_budget_shortfall","compare_group","latitude.x","longitude.x","labor_force_avg","employment_avg","unemployment_avg","unemployment_rate_avg","avg_snap_benefit","avg_snap_benefit_per_meal","snap_meal_cost_diff","population","all_returns","agi","median_income","median_rank","joint_returns","joint_returns_median_income","joint_returns_median_rank","tax_assessed","latitude.y","longitude.y","new_georeferenced_column"
"11",2010,"Glenn County",6021,"CA",19.5,5460,"130.0%","SNAP","185.0%","Other Nutrition Program","52.8%","25.5%","21.6%","NA","30.4%","2400","70%","31%",2.47,"$2,321,370","1",39.5983656482,-122.392092433,13241.6666666667,11152.5,2091.66666666667,0.158,146.46,1.61,0.86,28188,10536,421369000,27662,48,4980,43992,50,13673000,39.59028676,-122.0780968,"POINT (-122.0780968 39.59028676)"
"12",2010,"Humboldt County",6023,"CA",17.8,23740,"130.0%","SNAP","185.0%","Other Nutrition Program","56.0%","17.1%","26.8%","NA","24.5%","6450","72%","28%",2.56,"$10,461,070","1",40.6986310325,-123.873713677,66075,58941.6666666667,7133.33333333333,0.107833333333333,146.46,1.61,0.95,134575,48256,1851288000,28857,43,19013,54139,33,66995000,40.86148517,-123.8585124,"POINT (-123.8585124 40.86148517)"
"13",2010,"Imperial County",6025,"CA",27.6,46400,"130.0%","SNAP","185.0%","Other Nutrition Program","52.4%","31.8%","15.8%","NA","43.8%","21520","68%","32%",2.18,"$17,411,260","1",33.0396666316,-115.365267034,79108.3333333333,55841.6666666667,23241.6666666667,0.293916666666667,146.46,1.61,0.57,175594,59068,2217911000,23018,58,25952,36809,58,61630000,33.07729374,-114.7515356,"POINT (-114.7515356 33.07729374)"
"14",2010,"Inyo County",6027,"CA",14.9,2740,"130.0%","SNAP","185.0%","Other Nutrition Program","42.0%","21.3%","36.7%","NA","22.4%","880","63%","37%",3.47,"$1,636,570","1",36.5112075686,-117.410731439,9754.16666666667,8783.33333333333,971.666666666667,0.0995833333333333,146.46,1.61,1.86,18627,8024,384075000,33060,26,3473,62865,22,12905000,36.63350255,-118.2559592,"POINT (-118.2559592 36.63350255)"
"15",2010,"Kern County",6029,"CA",19.9,162430,"130.0%","SNAP","185.0%","Other Nutrition Program","57.7%","23.5%","18.8%","NA","31.7%","77700","74%","26%",2.42,"$67,660,820","1",35.3428386484,-118.729938045,372241.666666667,312575,59675,0.160333333333333,146.46,1.61,0.81,841744,269801,12777219000,29232,40,113298,54887,32,445670000,35.37676773,-118.8073572,"POINT (-118.8073572 35.37676773)"
"16",2010,"Kings County",6031,"CA",20.1,30400,"130.0%","SNAP","185.0%","Other Nutrition Program","49.9%","24.0%","26.1%","NA","32.2%","13180","73%","27%",2.31,"$12,087,630","1",36.075306112,-119.815547843,59575,49741.6666666667,9833.33333333333,0.16525,146.46,1.61,0.7,153020,42831,1717426000,28121,45,18248,47746,45,51192000,36.01947119,-120.0181641,"POINT (-120.0181641 36.01947119)"
"17",2010,"Lake County",6033,"CA",22.4,14400,"130.0%","SNAP","185.0%","Other Nutrition Program","57.3%","18.4%","24.3%","NA","32.8%","4450","77%","23%",2.95,"$7,312,070","1",39.0996074075,-122.753384296,29900.8333333333,25279.1666666667,4619.16666666667,0.154583333333333,146.46,1.61,1.34,64466,21157,827977000,27621,49,9327,44812,49,23441000,39.06500481,-122.6570192,"POINT (-122.6570192 39.06500481)"
"18",2010,"Lassen County",6035,"CA",19.1,6700,"130.0%","SNAP","185.0%","Other Nutrition Program","30.6%","6.3%","63.1%","NA","25.4%","1520","52%","48%",2.79,"$3,217,620","1",40.6735197906,-120.594276729,12118.3333333333,10375,1745,0.143916666666667,146.46,1.61,1.18,34730,9487,461818000,39966,9,4701,62914,21,13697000,40.43255922,-120.6495591,"POINT (-120.6495591 40.43255922)"
"19",2010,"Los Angeles County",6037,"CA",16.8,1636110,"130.0%","SNAP","185.0%","Other Nutrition Program","52.0%","23.4%","24.6%","NA","26.6%","643640","69%","31%",2.67,"$751,933,430","1",34.3615935047,-118.216981811,4940550,4319341.66666667,621204.166666667,0.125708333333333,146.46,1.61,1.06,9827070,3944376,240423556000,29779,38,1307725,57010,27,11431847000,34.0594833,-118.242048,"POINT (-118.242048 34.0594833)"
"20",2010,"Madera County",6039,"CA",19,28040,"130.0%","SNAP","185.0%","Other Nutrition Program","55.8%","27.2%","17.0%","NA","32.3%","13370","76%","24%",2.98,"$14,383,010","1",37.21816377,-119.762685404,61750,51241.6666666667,10508.3333333333,0.17025,146.46,1.61,1.37,151160,49469,1909205000,25692,56,22092,43980,51,57239000,37.09637123,-119.8904305,"POINT (-119.8904305 37.09637123)"
"21",2010,"Marin County",6041,"CA",12.3,30540,"130.0%","SNAP","185.0%","Other Nutrition Program","30.0%","9.7%","60.2%","NA","16.8%","8530","39%","61%",3.06,"$16,085,930","1",38.0728900672,-122.71915116,132958.333333333,122258.333333333,10716.6666666667,0.0805833333333333,146.46,1.61,1.45,252767,117447,14463708000,49675,1,48176,114060,1,953350000,38.03952573,-122.7299513,"POINT (-122.7299513 38.03952573)"
"22",2010,"Mariposa County",6043,"CA",16.8,3070,"130.0%","SNAP","185.0%","Other Nutrition Program","43.7%","14.9%","41.4%","NA","25.1%","860","53%","47%",4.04,"$2,134,890","1",37.5813163577,-119.906074042,8719.16666666667,7563.33333333333,1158.33333333333,0.133666666666667,146.46,1.61,2.43,18119,6616,284461000,30320,33,3100,49633,43,8180000,37.72289349,-119.9767358,"POINT (-119.9767358 37.72289349)"
"23",2010,"Mendocino County",6045,"CA",16.9,14820,"130.0%","SNAP","185.0%","Other Nutrition Program","57.1%","20.1%","22.7%","NA","26.5%","5050","76%","24%",2.89,"$7,372,280","1",39.440445802,-123.391375934,41615.8333333333,36680,4935.83333333333,0.118583333333333,146.46,1.61,1.28,87939,33803,1348991000,27542,50,14118,46249,47,43933000,39.31034149,-123.6517776,"POINT (-123.6517776 39.31034149)"
"24",2010,"Merced County",6047,"CA",21.8,54530,"130.0%","SNAP","185.0%","Other Nutrition Program","58.0%","29.7%","12.3%","NA","34.9%","27590","74%","26%",2.55,"$23,934,880","1",37.1928046251,-120.717925436,113866.666666667,92958.3333333333,20925,0.183916666666667,146.46,1.61,0.94,256386,82344,2953047000,25810,55,35614,42637,56,85002000,37.1324242,-120.7167521,"POINT (-120.7167521 37.1324242)"
"25",2010,"Modoc County",6049,"CA",19.6,1890,"130.0%","SNAP","185.0%","Other Nutrition Program","56.7%","21.9%","21.4%","NA","30.3%","640","84%","17%",3.51,"$1,141,890","1",41.5897858558,-120.725182912,3821.66666666667,3229.16666666667,593.333333333333,0.155416666666667,146.46,1.61,1.9,9676,2973,106657000,26786,53,1419,42706,55,3062000,41.71368177,-120.943072,"POINT (-120.943072 41.71368177)"
"26",2010,"Mono County",6051,"CA",14.6,2020,"130.0%","SNAP","185.0%","Other Nutrition Program","47.8%","19.4%","32.8%","NA","22.8%","670","53%","47%",3.67,"$1,276,070","1",37.9391539251,-118.886797787,8890.83333333333,7963.33333333333,927.5,0.104916666666667,146.46,1.61,2.06,14114,5239,239167000,29828,37,1999,59099,25,8123000,38.34709997,-119.3327269,"POINT (-119.3327269 38.34709997)"
"27",2010,"Monterey County",6053,"CA",15.4,62810,"130.0%","SNAP","185.0%","Other Nutrition Program","49.8%","29.0%","21.2%","NA","27.1%","29160","69%","31%",2.51,"$27,136,770","1",36.2172938519,-121.23941124,216033.333333333,187866.666666667,28183.3333333333,0.131416666666667,146.46,1.61,0.9,415825,160395,8348464000,28945,42,60800,53810,34,336506000,36.32470669,-121.2968358,"POINT (-121.2968358 36.32470669)"
"28",2010,"Napa County",6055,"CA",13.4,17980,"130.0%","SNAP","185.0%","Other Nutrition Program","40.8%","18.6%","40.6%","NA","20.9%","6420","59%","42%",3,"$9,284,670","1",38.5076030306,-122.330530356,70250,62825,7425,0.10575,146.46,1.61,1.39,136681,59287,3940184000,37964,12,25646,68564,14,187557000,38.45938161,-122.3328556,"POINT (-122.3328556 38.45938161)"
"29",2010,"Nevada County",6057,"CA",15.4,15150,"130.0%","SNAP","185.0%","Other Nutrition Program","33.2%","17.8%","49.0%","NA","21.5%","4170","53%","47%",3.43,"$8,944,630","1",39.301273004,-120.768694433,48939.1666666667,43069.1666666667,5870.83333333333,0.119916666666667,146.46,1.61,1.82,98484,39914,2117316000,34086,23,18757,59886,24,80161000,39.29548859,-120.9008733,"POINT (-120.9008733 39.29548859)"
"30",2010,"Orange County",6059,"CA",13,386020,"130.0%","SNAP","185.0%","Other Nutrition Program","41.2%","19.6%","39.3%","NA","21.3%","155210","55%","45%",2.73,"$181,396,160","1",33.703091525,-117.761211249,1537708.33333333,1383933.33333333,153783.333333333,0.1,146.46,1.61,1.12,3017089,1283628,90255339000,35814,16,524857,72174,11,4558270000,33.66073433,-117.9361373,"POINT (-117.9361373 33.66073433)"
"31",2010,"Placer County",6061,"CA",14.5,48700,"130.0%","SNAP","185.0%","Other Nutrition Program","26.5%","12.1%","61.3%","NA","19.4%","16080","35%","65%",2.82,"$23,639,250","1",39.063936061,-120.717238332,173441.666666667,152866.666666667,20591.6666666667,0.118583333333333,146.46,1.61,1.21,350609,157146,10494401000,43073,6,77233,77437,7,445611000,39.0316205,-120.8830665,"POINT (-120.8830665 39.0316205)"
"32",2010,"Plumas County",6063,"CA",20,4090,"130.0%","SNAP","185.0%","Other Nutrition Program","41.2%","19.4%","39.4%","NA","27.7%","1030","77%","23%",3.25,"$2,288,030","1",40.0047236595,-120.838727612,9172.5,7460.83333333333,1710.83333333333,0.18775,146.46,1.61,1.64,19993,7388,329896000,32208,28,3681,52075,38,10043000,40.00510655,-121.0077457,"POINT (-121.0077457 40.00510655)"
"33",2010,"Riverside County",6065,"CA",17.4,367720,"130.0%","SNAP","185.0%","Other Nutrition Program","44.9%","24.1%","31.0%","NA","26.9%","161640","64%","36%",2.49,"$157,605,810","1",33.74364051,-115.994021641,977775,839141.666666667,138633.333333333,0.141916666666667,146.46,1.61,0.88,2191800,791883,37331659000,30055,34,333524,55039,31,1164771000,33.7775741,-115.4706931,"POINT (-115.4706931 33.7775741)"
"34",2010,"Sacramento County",6067,"CA",18,251060,"130.0%","SNAP","185.0%","Other Nutrition Program","45.8%","16.1%","38.2%","NA","24.2%","86220","68%","32%",2.51,"$108,469,310","1",38.4543841802,-121.338809393,683833.333333333,595483.333333333,88358.3333333333,0.129083333333333,146.46,1.61,0.9,1420447,555409,28790184000,35426,19,214948,64981,19,1044328000,38.1923781,-121.6020643,"POINT (-121.6020643 38.1923781)"
"35",2010,"San Benito County",6069,"CA",17.7,9650,"130.0%","SNAP","185.0%","Other Nutrition Program","39.8%","23.1%","37.1%","NA","28.1%","4530","51%","49%",3.12,"$5,182,480","1",36.6055494282,-121.074869757,27958.3333333333,23608.3333333333,4333.33333333333,0.154833333333333,146.46,1.61,1.51,55350,21481,1142344000,33613,24,9478,65256,17,42940000,36.50024907,-121.0915105,"POINT (-121.0915105 36.50024907)"
"36",2010,"San Bernardino County",6071,"CA",17.6,352840,"130.0%","SNAP","185.0%","Other Nutrition Program","48.6%","23.5%","27.8%","NA","27.0%","158880","67%","33%",2.45,"$148,798,840","1",34.8413712057,-116.178482683,891416.666666667,767933.333333333,123483.333333333,0.138583333333333,146.46,1.61,0.84,2038771,707534,31913155000,29938,36,281755,55200,30,944303000,34.52258599,-115.5372574,"POINT (-115.5372574 34.52258599)"
"37",2010,"San Diego County",6073,"CA",14.8,447780,"130.0%","SNAP","185.0%","Other Nutrition Program","44.1%","17.5%","38.4%","NA","22.5%","159400","60%","40%",2.68,"$206,564,230","1",33.03590414,-116.733115518,1515858.33333333,1348825,167033.333333333,0.110333333333333,146.46,1.61,1.07,3104581,1271761,78659772000,35544,18,510257,68155,16,3474631000,32.78964014,-117.1936577,"POINT (-117.1936577 32.78964014)"
"38",2010,"San Francisco County",6075,"CA",14.9,117740,"130.0%","SNAP","185.0%","Other Nutrition Program","43.9%","14.5%","41.6%","NA","19.1%","20020","59%","41%",3.15,"$63,839,610","1",37.7545101587,-122.442201158,485775,441575,44191.6666666667,0.0909166666666667,146.46,1.61,1.54,807177,402721,38649766000,42821,7,114414,76526,8,2358105000,37.7577,-122.4376,"POINT (-122.4376 37.7577)"
"39",2010,"San Joaquin County",6077,"CA",20.3,137000,"130.0%","SNAP","185.0%","Other Nutrition Program","47.7%","21.9%","30.4%","NA","29.6%","58320","68%","32%",2.54,"$59,897,670","1",37.9347888756,-121.271031094,312116.666666667,259333.333333333,52766.6666666667,0.169166666666667,146.46,1.61,0.93,686761,246554,11250775000,31131,29,104489,56322,28,382315000,37.933703,-121.3444014,"POINT (-121.3444014 37.933703)"
"40",2010,"San Luis Obispo County",6079,"CA",15.1,40080,"130.0%","SNAP","185.0%","Other Nutrition Program","42.2%","13.8%","44.0%","NA","20.8%","10320","53%","47%",2.9,"$20,006,970","1",35.3871699387,-120.404113779,133591.666666667,119900,13700,0.102333333333333,146.46,1.61,1.29,269753,109790,6012434000,35155,20,48280,64992,18,257036000,35.27435015,-120.6124974,"POINT (-120.6124974 35.27435015)"
"41",2010,"San Mateo County",6081,"CA",12.2,85990,"130.0%","SNAP","185.0%","Other Nutrition Program","31.4%","13.9%","54.7%","NA","18.3%","28330","43%","57%",2.82,"$41,740,020","1",37.4222797899,-122.328717603,392866.666666667,359258.333333333,33616.6666666667,0.0855833333333333,146.46,1.61,1.21,719582,322311,37754066000,48189,2,133291,97459,2,2382519000,37.43944139,-122.3344603,"POINT (-122.3344603 37.43944139)"
"42",2010,"Santa Barbara County",6083,"CA",13.7,57130,"130.0%","SNAP","185.0%","Other Nutrition Program","53.0%","21.7%","25.3%","NA","23.2%","21960","66%","34%",2.6,"$25,567,790","1",34.7247642306,-120.022280302,212275,191191.666666667,21083.3333333333,0.0994166666666667,146.46,1.61,0.99,424291,167250,10679351000,33189,25,66883,62083,23,507878000,34.42119106,-119.6988197,"POINT (-119.6988197 34.42119106)"
"43",2010,"Santa Clara County",6085,"CA",14,243570,"130.0%","SNAP","185.0%","Other Nutrition Program","34.0%","14.6%","51.3%","NA","20.8%","86480","45%","55%",2.77,"$116,133,950","1",37.2314656159,-121.694370762,926866.666666667,828000,98866.6666666667,0.106583333333333,146.46,1.61,1.16,1787553,788025,77997838000,46365,3,335392,97190,3,4475900000,37.23423826,-121.7317226,"POINT (-121.7317226 37.23423826)"
"44",2010,"Santa Cruz County",6087,"CA",15.9,40830,"130.0%","SNAP","185.0%","Other Nutrition Program","44.0%","19.1%","36.9%","NA","24.4%","13240","58%","43%",2.92,"$20,521,910","1",37.0562738337,-122.001503233,141858.333333333,122566.666666667,19316.6666666667,0.1365,146.46,1.61,1.31,263174,114054,6981438000,32871,27,43624,68596,13,311506000,37.02159755,-121.9471295,"POINT (-121.9471295 37.02159755)"
"45",2010,"Shasta County",6089,"CA",20.5,36330,"130.0%","SNAP","185.0%","Other Nutrition Program","49.2%","15.8%","34.9%","NA","29.0%","11470","68%","32%",2.46,"$15,383,530","1",40.7638035968,-122.040258069,78683.3333333333,65175,13508.3333333333,0.17175,146.46,1.61,0.85,177480,68206,3088408000,30363,32,32584,51335,41,93161000,40.53502155,-122.5021643,"POINT (-122.5021643 40.53502155)"
"46",2010,"Sierra County",6091,"CA",18.9,640,"130.0%","SNAP","185.0%","Other Nutrition Program","33.4%","5.9%","60.8%","NA","27.7%","160","39%","62%",2.55,"$280,920","1",39.5802326921,-120.5158689,1612.5,1360.83333333333,252.5,0.157916666666667,146.46,1.61,0.94,3231,1077,51559000,34899,21,573,51517,40,1612000,39.56316056,-120.7739513,"POINT (-120.7739513 39.56316056)"
"47",2010,"Siskiyou County",6093,"CA",21.8,9750,"130.0%","SNAP","185.0%","Other Nutrition Program","51.4%","20.2%","28.4%","NA","30.5%","2730","70%","31%",2.93,"$4,917,310","1",41.5927766918,-122.540597429,19672.5,16282.5,3390.83333333333,0.1725,146.46,1.61,1.32,44951,16622,684011000,27718,47,8058,45193,48,21362000,41.40245364,-123.1750119,"POINT (-123.1750119 41.40245364)"
"48",2010,"Solano County",6095,"CA",16.8,69040,"130.0%","SNAP","185.0%","Other Nutrition Program","35.2%","12.5%","52.3%","NA","21.3%","21760","57%","43%",2.47,"$29,353,060","1",38.2809617098,-121.925388545,202558.333333333,176533.333333333,26025,0.1285,146.46,1.61,0.86,413220,164176,9184603000,39358,10,67856,72208,10,319923000,38.17681839,-122.0352986,"POINT (-122.0352986 38.17681839)"
"49",2010,"Sonoma County",6097,"CA",14.3,67820,"130.0%","SNAP","185.0%","Other Nutrition Program","39.5%","17.2%","43.3%","NA","21.7%","22510","54%","47%",2.8,"$32,686,730","1",38.5285599879,-122.887483333,244608.333333333,217541.666666667,27075,0.11075,146.46,1.61,1.19,484258,208204,12129187000,36405,13,84650,68189,15,515741000,38.49367199,-122.9302632,"POINT (-122.9302632 38.49367199)"
"50",2010,"Stanislaus County",6099,"CA",19.9,101300,"130.0%","SNAP","185.0%","Other Nutrition Program","49.9%","22.3%","27.8%","NA","31.0%","45230","65%","35%",2.55,"$44,463,670","1",37.5596231173,-120.997728951,243816.666666667,201666.666666667,42158.3333333333,0.173083333333333,146.46,1.61,0.94,515311,181046,8317203000,30519,31,79658,52907,35,272980000,37.50148783,-121.2164803,"POINT (-121.2164803 37.50148783)"
"51",2010,"Sutter County",6101,"CA",21.5,20090,"130.0%","SNAP","185.0%","Other Nutrition Program","44.9%","22.9%","32.2%","NA","31.7%","8160","65%","36%",2.32,"$8,022,760","1",39.0347176537,-121.694837777,46075,37416.6666666667,8650,0.187916666666667,146.46,1.61,0.71,94800,34157,1548307000,29373,39,16286,48651,44,50104000,39.01131111,-121.7233341,"POINT (-121.7233341 39.01131111)"
"52",2010,"Tehama County",6103,"CA",20.7,12970,"130.0%","SNAP","185.0%","Other Nutrition Program","56.8%","23.0%","20.2%","NA","31.9%","5130","78%","23%",2.45,"$5,469,680","1",40.1257489332,-122.234030581,25761.6666666667,21699.1666666667,4065.83333333333,0.15775,146.46,1.61,0.84,63635,18676,739485000,26966,51,8797,42823,54,22501000,40.25506437,-122.2937715,"POINT (-122.2937715 40.25506437)"
"53",2010,"Trinity County",6105,"CA",22.1,3030,"130.0%","SNAP","185.0%","Other Nutrition Program","44.8%","22.2%","33.1%","NA","29.7%","680","65%","35%",2.57,"$1,340,390","1",40.6506363021,-123.112687957,5438.33333333333,4490.83333333333,944.166666666667,0.174416666666667,146.46,1.61,0.96,13883,4351,153206000,26448,54,2023,41800,57,4959000,40.84092907,-122.972844,"POINT (-122.972844 40.84092907)"
"54",2010,"Tulare County",6107,"CA",20.1,86160,"130.0%","SNAP","185.0%","Other Nutrition Program","64.6%","29.1%","6.4%","NA","34.5%","47730","77%","24%",2.44,"$36,186,880","1",36.2204314354,-118.800475359,203491.666666667,167683.333333333,35800,0.175916666666667,146.46,1.61,0.83,443638,145424,5468432000,24835,57,59437,42986,52,171759000,36.28254312,-118.2652098,"POINT (-118.2652098 36.28254312)"
"55",2010,"Tuolumne County",6109,"CA",18,10110,"130.0%","SNAP","185.0%","Other Nutrition Program","35.7%","17.6%","46.7%","NA","24.4%","2400","66%","34%",3.08,"$5,359,910","1",38.0277827472,-119.954608354,22657.5,19125,3533.33333333333,0.156083333333333,146.46,1.61,1.47,54961,21086,967381000,30783,30,9897,52013,39,31295000,37.96385957,-119.8920735,"POINT (-119.8920735 37.96385957)"
"56",2010,"Ventura County",6111,"CA",13.3,107490,"130.0%","SNAP","185.0%","Other Nutrition Program","38.1%","20.5%","41.4%","NA","22.2%","46550","52%","48%",2.79,"$51,621,180","1",34.4716370318,-119.078252096,430225,382450,47783.3333333333,0.111083333333333,146.46,1.61,1.18,825378,345418,22064475000,35748,17,145513,73139,9,964358000,34.27709072,-119.2178496,"POINT (-119.2178496 34.27709072)"
"57",2010,"Yolo County",6113,"CA",17.5,34420,"130.0%","SNAP","185.0%","Other Nutrition Program","49.1%","16.8%","34.1%","NA","25.1%","11100","59%","42%",2.6,"$15,404,220","1",38.6870109765,-121.901509517,102266.666666667,89608.3333333333,12658.3333333333,0.123833333333333,146.46,1.61,0.99,200995,74976,4511249000,36272,14,31640,70822,12,184675000,38.68382688,-121.9127421,"POINT (-121.9127421 38.68382688)"
"58",2010,"Yuba County",6115,"CA",22.8,16220,"130.0%","SNAP","185.0%","Other Nutrition Program","53.9%","20.4%","25.7%","NA","33.7%","6760","74%","26%",2.26,"$6,309,790","1",39.269286796,-121.35122881,29133.3333333333,23833.3333333333,5300,0.181666666666667,146.46,1.61,0.65,72336,22762,937474000,29190,41,10629,47617,46,23813000,39.27129476,-121.3793557,"POINT (-121.3793557 39.27129476)"
"59",2011,"Alameda County",6001,"CA",16.2,241860,"130%","SNAP","185%","Other Nutrition Program","39.5%","17.9%","42.6%","NA","20.0%","67780","57%","43%",3.02,"$119,078,060.00","1",37.6448737628,-121.882288836,785125,704591.666666667,80525,0.102583333333333,147.06,1.61,1.41,1526220,673054,50659634000,42897,8,263108,88924,5,2298992000,37.72022591,-122.1643521,"POINT (-122.1643521 37.72022591)"
"60",2011,"Alpine County",6003,"CA",16.2,190,"130%","SNAP","185%","Other Nutrition Program","44.1%","19.6%","36.3%","NA","23.2%","70","52%","48%",3.01,"$93,240.00","1",38.5979709975,-119.820210752,591.666666666667,515.833333333333,75.8333333333333,0.13175,147.06,1.61,1.4,1118,292,18135000,41111,9,139,66537,19,570000,38.58842891,-119.7124417,"POINT (-119.7124417 38.58842891)"
"61",2011,"Amador County",6005,"CA",13.9,5320,"130%","SNAP","185%","Other Nutrition Program","30.8%","19.1%","50.2%","NA","22.3%","1440","58%","43%",3.41,"$2,957,510.00","1",38.4461173773,-120.65157196,15075,12989.1666666667,2087.5,0.138416666666667,147.06,1.61,1.8,37288,14421,732004000,36408,17,7287,58540,27,21980000,38.47216216,-120.5741948,"POINT (-120.5741948 38.47216216)"
"62",2011,"Butte County",6007,"CA",18.4,40400,"130%","SNAP","185%","Other Nutrition Program","56.4%","22.8%","20.8%","NA","27.7%","12790","77%","23%",2.78,"$18,309,940.00","1",39.6670113073,-121.600718282,100550,86566.6666666667,13991.6666666667,0.138916666666667,147.06,1.61,1.17,220521,78722,3693253000,29613,43,33573,54384,35,115815000,39.59127291,-121.6728818,"POINT (-121.6728818 39.59127291)"
